,Title,Quality,Type,Price,Shipping,Returns
563,"New ListingFrankenstein - Hallmark Mini-series, (Blu-ray Disc, 2016)",Pre-Owned,Blu-ray Disc,$9.95,Free,Unknown
564,New ListingKiller Klowns From Outer Space Blu-Ray NEW,Brand New,Blu-ray Disc,$12.49,Free,Unknown
565,DARK SHADOWS NEW DVD,Brand New,DVD,$6.95,Free,Unknown
566,"Voodoo Woman (1957) Horror, Sci-Fi Classic DVD",New (Other),DVD,$11.99,Free,Free
567,"Voodoo Woman (1957) Horror, Sci-Fi Classic DVD",New (Other),DVD,$11.99,Free,Free
568,THE HITCHER NEW DVD,Brand New,DVD,$22.85,Free,Unknown
569,MAXIMUM OVERDRIVE New Sealed Blu-ray Vestron Video Collector's Series,Brand New,Blu-ray Disc,$33.54,Free,Free
570,Horror DVD - Wrong Turn 4: Bloody Beginnings Brand New Factory Sealed Slip case,Brand New,DVD,$8.89,Free,Unknown
571,"Alone (DVD, 2020)",Pre-Owned,DVD,$12.00,Free,Unknown
572,THE CRAFT NEW BLU-RAY,Brand New,Blu-ray Disc,$11.98,Free,Unknown
573,"The Toxic Avenger - The Toxic Avenger [New Blu-ray] With DVD, Widescre",Brand New,Blu-ray Disc,$19.49,Free,Free
574,"Horror Collection Come Play with Us 17 Movies (DVD, 4-Disc, Puppet Master) NEW",Brand New,DVD,$9.99,Free,Unknown
575,Marauders [New DVD],Brand New,DVD,$8.98,Free,Free
576,Hex: The Complete First Season DVD Andy Goddard(DIR),Pre-Owned,DVD,$5.60,Free,Free
577,Bad Ben [New DVD] Widescreen,Brand New,DVD,$13.44,Free,Free
578,The Forsaken DVD J.S. Cardone(DIR) 2001,Pre-Owned,DVD,$4.87,Free,Free
579,"New ListingFrankenstein - Hallmark Mini-series, (Blu-ray Disc, 2016)",Pre-Owned,Blu-ray Disc,$9.95,Free,Unknown
580,New ListingKiller Klowns From Outer Space Blu-Ray NEW,Brand New,Blu-ray Disc,$12.49,Free,Unknown
581,"Jack Ketchum's The Lost (Blu-ray Disc, 2010) - Brand New",Brand New,Blu-ray Disc,$2.96,Unknown,Free
582,PUMPKINHEAD NEW BLU-RAY,Brand New,Blu-ray Disc,$17.98,Free,Unknown
583,"Zombie Isle (2014) Comedy, Horror DVD",New (Other),DVD,$11.99,Free,Free
584,The Crimson Ghost 1946 12 Chapter Movie Serial DVD Clayton Moore,Pre-Owned,DVD,$5.98,Free,Free
585,New ListingTHE HOUSE ON SORORITY ROW (1983) (Blu-Ray) SCORPION RELEASING - BRAND NEW!!!,Brand New,Blu-ray Disc,$24.95,Unknown,Unknown
586,"Arachnophobia (DVD, 1999) Jeff Daniels, John Goodman, Julian Sands   NEW",Brand New,DVD,$5.95,Free,Unknown
587,Grimm Season 6 DVD David Giuntoli NEW,Brand New,DVD,$17.99,Free,Unknown
588,"The Manitou [New DVD] Australia - Import, NTSC Region 0",Brand New,DVD,$12.23,Free,Free
589,New ListingIron Warrior Blu ray*Scorpion Releasing*80's Classic*Widescreen*Sealed/NEW*,Brand New,Blu-ray Disc,$21.95,Unknown,Unknown
590,Fear New DVD! Ships Fast!,Brand New,DVD,$15.18,Free,Unknown
591,Atm DVD David Brooks(DIR),Pre-Owned,DVD,$5.95,Free,Free
592,HOST New Sealed Blu-ray 2020 Film Online Seance,Brand New,Blu-ray Disc,$14.47,Free,Free
593,Wrong Turn 1-5 [New Blu-ray] Widescreen,Brand New,Blu-ray Disc,$27.56,Free,Free
594,The Bride of Frankenstein DVD Boris Karloff NEW,Brand New,DVD,$8.73,Free,Unknown
595,Horror of Dracula [New Blu-ray],Brand New,Blu-ray Disc,$19.13,Free,Free
596,Unstoppable (2010) BLU-RAY Tony Scott(DIR) 2010,Pre-Owned,Blu-ray Disc,$6.77,Free,Free
597,Werewolves on Wheels [New DVD],Brand New,DVD,$12.68,Free,Free
598,Pompeii [Blu-ray] NEW!,Brand New,Blu-ray Disc,$8.49,Free,Unknown
599,Nosferatu In Venice Blu-ray,Brand New,Unknown,$28.84,Free,Free
600,Alone [New Blu-ray],Brand New,Unknown,$15.98,Free,Free
601,Idle Hands Collector's Edition (Blu Ray),Brand New,Blu-ray Disc,$21.99,Unknown,Unknown
602,"Gorgo [New Blu-ray] Collector's Ed, Enhanced, Subtitled, Dubbed, Ac-3/",Brand New,Blu-ray Disc,$17.00,Free,Free
603,Stephen King's Silver Bullet (Collector's Edition) [New Blu-ray] Colle,Brand New,Blu-ray Disc,$24.96,Free,Free
604,"Night of the Demons 2 [New Blu-ray] Rmst, Widescreen",Brand New,Blu-ray Disc,$20.98,Free,Free
605,Dog Soldiers [Blu-ray + DVD],Brand New,Blu-ray/Dvd,$9.99,Free,Free
606,BUFFY THE VAMPIRE SLAYER: THE COMPLETE SERIES    ** US SELLER**,Brand New,DVD,$71.50,Free,Free
607,The Reincarnation of Peter Proud [New DVD] Special Ed,Brand New,DVD,$16.33,Free,Free
608,The Unholy (Vestron Video Collector's Series) [New Blu-ray] Digital Th,Brand New,Blu-ray Disc,$29.12,Free,Free
609,"I See You [New DVD] Ac-3/Dolby Digital, Amaray Case, Digital Copy, Dolby, Subt",Brand New,DVD,$8.62,Free,Free
610,"The Curtains - Curtains [New Blu-ray] Anamorphic, Widescreen",Brand New,Blu-ray Disc,$21.46,Free,Free
611,"New ListingHouse of the Seven Corpses (Blu-ray/DVD, 2013, 2-Disc Set)",New (Other),DVD,$9.99,Unknown,Unknown
612,Hammer Horror 8-Film Collection Blu-ray  NEW,Brand New,Blu-ray Disc,$24.99,Free,Unknown
613,"The Fly [New DVD] Collector's Ed, Special Ed, Subtitled, Widescreen, Dolby, Di",Brand New,DVD,$10.34,Free,Free
614,New Icons of Horror: Hammer Films (DVD),Brand New,DVD,$11.20,Free,Free
615,Halloween II (Collector's Edition) [New DVD],Brand New,DVD,$12.96,Free,Free
616,Maneater Series Triple Feature: Croc / Sea Beast / Shark Swarm [DVD] NEW!,Brand New,DVD,$5.99,Free,Unknown
617,Misery Scream Factory Collector's Edition Blu-ray with Slipcover ~ Stephen King,Brand New,Blu-ray Disc,$18.76,Free,Free
618,Stephen King's It DVD Tommy Lee Wallace(DIR) 1990,Pre-Owned,DVD,$4.38,Free,Free
619,Horror of Dracula DVD Terence Fisher(DIR) 1958,Pre-Owned,DVD,$6.01,Free,Free
620,New ListingThe Breed Blu Ray Horror Film Movie Wes Craven Nick Mastandrea,New (Other),Blu-ray Disc,$20.00,Free,Unknown
621,"1BR (DVD, 2020)",Pre-Owned,DVD,$8.75,Free,Unknown
622,Resident Evil: The Final Chapter DVD 2017,Pre-Owned,DVD,$5.35,Free,Free
623,"Red Eye (DVD, 2006, Widescreen) NEW",Brand New,DVD,$5.96,Free,Free
624,"The Boy [New DVD] Slipsleeve Packaging, Snap Case",Brand New,DVD,$10.32,Free,Free
625,The Island DVD Michael Caine NEW,Brand New,DVD,$6.00,Free,Unknown
626,Slither DVD James Gunn(DIR) 2006,Pre-Owned,DVD,$4.76,Free,Free
627,"Pick Your Movies, Shipping is a flat $3, save when you buy more then 1 dvd PT.2",Pre-Owned,Unknown,$2.50,Unknown,Unknown
628,SCARY STORIES TO TELL IN THE DARK NEW DVD,Brand New,Unknown,$7.95,Free,Unknown
629,Super 8 - DVD - VERY GOOD,Pre-Owned,DVD,$4.13,Free,Free
630,"Target Earth (1954) Horror, Sci-Fi Classic DVD",New (Other),DVD,$11.99,Free,Free
631,Invasion of the Saucer Men (1957) Horror Sci-Fi Classic DVD,New (Other),DVD,$11.99,Free,Free
632,Hannibal (Two-Disc Special Edition) - DVD - VERY GOOD,Pre-Owned,DVD,$4.29,Free,Free
633,BAIT NEW BLU-RAY/DVD,Brand New,Blu-ray/Dvd,$10.33,Free,Unknown
634,The Missing (Special Edition) DVD Ron Howard(DIR) 2003,Pre-Owned,DVD,$4.65,Free,Free
635,6 FILM COLLECTION CONJURING UNIVERSE New DVD Conjuring 1 2 Annabelle 1 2 3 Nun,Brand New,DVD,$48.08,Free,Free
636,The Rocky Horror Picture Show (45th Anniversary Edition) [New DVD] Anniversary,Brand New,DVD,$9.77,Free,Free
637,Winchester [New DVD],Brand New,Unknown,$4.99,Unknown,Free
638,A Bay of Blood (1971) Blu-Ray BRAND NEW Free Ship - USA Compatible ,Brand New,Blu-ray Disc,$18.50,Free,Free
639,Room 6 DVD Mike Hurst(DIR) 2006,Pre-Owned,DVD,$5.24,Free,Free
640,Divergent DVD Neil Burger(DIR),Pre-Owned,DVD,$4.41,Free,Free
641,Hagazussa [New DVD],Brand New,DVD,$14.72,Free,Free
642,"Spine [New DVD] Full Frame, Dolby",Brand New,DVD,$14.64,Free,Free
643,"Vampire Collection (DVD, 2010) NEW",Brand New,DVD,$3.49,Free,Unknown
644,THE LOST BOYS New Sealed Blu-ray Corey Feldman,Brand New,Blu-ray Disc,$9.96,Free,Free
645,The Messengers - DVD - VERY GOOD,Pre-Owned,DVD,$4.29,Free,Free
646,THIRTEEN GHOSTS NEW BLU-RAY DISC,Brand New,Blu-ray Disc,$24.94,Free,Unknown
647,222 Disney Children Movie DVD Lot- Pick and Choose- Order more and Save!- Kids,Pre-Owned,Unknown,$2.95,Unknown,Unknown
648,HUBIE HALLOWEEN  DVD  FREE SHIPPING BRAND NEW ,Brand New,Unknown,$19.95,Unknown,Free
649,DVD Lot - You Pick $1.50ea - DISCS ONLY -After 1rst Rest Ship FREE -UPDATED 3/24,New (Other),Unknown,$1.50,Unknown,Unknown
650,"Daybreakers (DVD, 2010, Widescreen) NEW",Brand New,DVD,$7.55,Free,Free
651,New ListingLooper 2-Disc Blu-ray Steelbook Region A Widescreen With Lenticular Magnet Ding,Pre-Owned,Blu-ray/Dvd,$24.99,Unknown,Unknown
652,"American Assassin (DVD, 2017)",Brand New,DVD,$6.00,Free,Free
653,"Carrie (DVD, 25th Anniversary Special Edition) - NEW!!",Brand New,DVD,$3.99,Unknown,Unknown
654,Strangeland [New DVD],Brand New,DVD,$9.19,Free,Free
655,Huge BluRay Movies Lot - ALL HAVE SLIPCOVER -Pick & Choose Your Own -some w/ DVD,New (Other),Unknown,$1.75 to $24.99,Unknown,Unknown
656,Village of the Damned (Collector's Edition) [New Blu-ray] Collector's,Brand New,Blu-ray Disc,$17.96,Free,Free
657,Happy Death Day (2017) Blu-Ray Buy 5 Get 1 Free! Pay $3 Shipping Once!,New (Other),Blu-ray Disc,$7.25,Unknown,Unknown
658,Sinister DVD Scott Derrickson(DIR),Pre-Owned,DVD,$5.10,Free,Free
659,Doom Annihilation Blu-ray James Weber Brown NEW,Brand New,Unknown,$8.99,Free,Unknown
660,"They Live [New 4K UHD Blu-ray] With Blu-Ray, 4K Mastering, Collector's Ed, 2 P",Brand New,Unknown,$27.99,Free,Free
661,"New ListingThe Stepfather (Blu-ray Disc, 2010, Unrated Director's Cut)",Pre-Owned,Blu-ray Disc,$7.49,Free,Unknown
662,Blu-Ray Lot -You Pick $3.00 ea. After 1rst Rest Ship FREE - GREAT TITLES! 3D Too,Pre-Owned,Unknown,$3.00 to $14.95,Unknown,Unknown
663,Big Driver / Stephen King’s Riding the Bullet [New DVD] 2 Pack,Brand New,DVD,$10.51,Free,Free
664,MONSTROSITY / THE ATOMIC BRAIN - 4K Restored Blu-ray Edition NEW,Brand New,Blu-ray Disc,$17.99,Unknown,Unknown
665,Fright Night [New Blu-ray] With DVD,Brand New,Blu-ray/Dvd,$18.50,Free,Free
666,"The Entity (Collector's Edition) [New Blu-ray] Collector's Ed, Widescr",Brand New,Unknown,$24.96,Free,Free
667,"Corpse Party Live Action [New DVD] Anamorphic, Subtitled",Brand New,DVD,$12.98,Free,Free
668,Deep Blue Sea - DVD - VERY GOOD,Pre-Owned,DVD,$4.45,Free,Free
669,The Village - DVD - VERY GOOD,Pre-Owned,DVD,$3.89,Free,Free
670,Dagon (Vestron Video Collector's Series) [New Blu-ray] Collector's Ed,Brand New,Blu-ray Disc,$29.15,Free,Free
671,Horror Classics- 50 Movie Pack Anniversary Edition,Pre-Owned,DVD,$4.80,Free,Unknown
672,The Texas Chainsaw Massacre: The Beginning DVD Jonathan Liebesman(DIR) 2006,Pre-Owned,DVD,$4.79,Free,Free
673,Salvage 1 Hard Water / Salvage 1 Golden Orbit [New DVD],Brand New,DVD,$12.97,Free,Free
674,The Gate (Vestron Video Collector's Series) [New Blu-ray],Brand New,Blu-ray Disc,$29.25,Free,Free
675,Wicked Lake - Brand New 2-Disc Set (DVD w/ Soundtrack) ,Brand New,DVD,$5.40,Free,Unknown
676,Fright [New Blu-ray] Widescreen,Brand New,Unknown,$21.96,Free,Free
677,Face of the Screaming Werewolf [New DVD],Brand New,DVD,$9.64,Free,Free
678,You Should Have Left (2020) Kevin Bacon Blu-Ray BRAND NEW Free Ship,Brand New,Blu-ray Disc,$24.99,Free,Free
679,"New ListingTHE RING (DVD, FULL SCREEN, 200) FREE SAME-DAY SHIPPING!",Pre-Owned,DVD,$3.40,Free,Unknown
680,Phantasm Sphere Movie Collection Blu-ray Limited Edition Well Go USA Silver Ball,Brand New,Blu-ray Disc,$159.99,Unknown,Unknown
681,Penny Dreadful: The Final Season [DVD] NEW!,Brand New,DVD,$9.99,Free,Unknown
682,Day of the Dead (Collector's Edition) [New Blu-ray],Brand New,Blu-ray Disc,$19.26,Free,Free
683,"The Night Flier [New DVD] Australia - Import, NTSC Region 0",Brand New,DVD,$9.12,Free,Free
684,The First Purge DVD Marisa Tomei NEW,Brand New,DVD,$5.84,Free,Unknown
685,The Thing DVD Matthijs Van Heijningen Jr.(DIR) 2011,Pre-Owned,DVD,$5.33,Free,Free
686,Individually Priced DVD Movies You choose 🤢 Volume Discount,Pre-Owned,Unknown,$1.00 to $28.99,Unknown,Unknown
687,Outpost: Black Sun (DVD) War in Hell Action Horror Zombie Movie NEW,Brand New,DVD,$5.99,Free,Unknown
688,DAY OF THE DEAD New Sealed Blu-ray Collector's Edition 1985 George A Romero,Brand New,Blu-ray Disc,$19.25,Free,Free
689,"Assassins Creed (Blu-ray/DVD, 2017, 2-Disc Set)",New (Other),Unknown,$6.58,Free,Free
690,THE CURSE OF LA LLORONA (Blu-Ray + DVD) >NEW< With Slipcover,Brand New,DVD,$11.65,Free,Free
691,"Harvest of the Dead (2018) Horror, Crime DVD",New (Other),DVD,$11.99,Free,Free
692,Child's Play (Blu-ray 2019) Brand New Factory Sealed Free Shipping Horror Chucky,Brand New,Blu-ray Disc,$11.95,Free,Free
693,Bigfoot Path of the Beast Bigfoot Horror Film 2020 DVD,Brand New,DVD,$15.00,Unknown,Unknown
694,New ListingSigns DVD COMPLETE WITH CASE & COVER ARTWORK BUY 2 GET 1 FREE,Pre-Owned,DVD,$4.49,Free,Unknown
695,"The Norliss Tapes (DVD, 2006) NTSC, Region 1, Brand New",Brand New,DVD,$14.99,Free,Free
696,The Dentist 2 [New DVD] Widescreen,Brand New,DVD,$13.38,Free,Free
697,"Blu-Ray Popular Movies Lot G-L, Best Prices! Ships Same Day, Buy 3 Ships FREE!",New (Other),Unknown,$3.00 to $9.50,Unknown,Unknown
698,Van Helsing DVD Stephen Sommers(DIR) 2004,Pre-Owned,DVD,$4.79,Free,Free
699,"Assassins Creed (Blu-ray/DVD, 2017, 2-Disc Set)",New (Other),Unknown,$6.58,Free,Free
700,The Texas Chainsaw Massacre: The Beginning DVD Jonathan Liebesman(DIR) 2006,Pre-Owned,DVD,$4.79,Free,Free
701,The Wolf Man DVD Lon Chaney Jr. NEW,Brand New,DVD,$9.35,Free,Unknown
702,"Lots of Blu-ray Movies - Action, Adventure, Comedy, Thrillers - Like New ",New (Other),Unknown,$4.49 to $7.49,Free,Free
703,Divergent DVD Neil Burger(DIR),Pre-Owned,DVD,$4.41,Free,Free
704,The Valley of Gwangi [New DVD] Mono Sound,Brand New,DVD,$18.67,Free,Free
705,"Dahmer vs. Gacy (DVD, 2011)  Brand New",Brand New,DVD,$7.99,Unknown,Unknown
706,The Hammer Horror Series 8-Film Collection DVD  NEW,Brand New,DVD,$17.21,Free,Unknown
707,JEEPERS CREEPERS 1 + 2 New Sealed Blu-ray Double Feature,Brand New,Blu-ray Disc,$11.49,Free,Free
708,Extraterrestrial [New Blu-ray] Full Frame,Brand New,Blu-ray Disc,$14.30,Free,Free
709,1984 [New DVD],Brand New,DVD,$9.51,Free,Free
710,Tarantula [New Blu-ray] Widescreen,Brand New,Unknown,$22.96,Free,Free
711,Buffy the Vampire Slayer: Season 4 DVD David Grossman(DIR),Pre-Owned,DVD,$6.32,Free,Free
712,New ListingTHE FUN PARK 2007 DVD Starring Jillian Murray - VERY GOOD,Pre-Owned,DVD,$5.39,Free,Unknown
713,NEW RARE OOP ORLANDO AROCENA KILLER KLOWNS FROM OUTER SPACE STEELBOOK BLU RAY,Brand New,Blu-ray Disc,$16.95,Free,Unknown
714,Army of Darkness - The Evil Dead 3 Blu-ray Ian Abercrombie NEW,Brand New,Blu-ray Disc,$9.21,Free,Unknown
715,DVD Movie Lot Sale $1.49 each! Pick your DVD Movies!,Pre-Owned,Unknown,$1.49,Unknown,Unknown
716,G.I. Joe: Retaliation BLU-RAY Jon M. Chu(DIR) 2013,Pre-Owned,Blu-ray/Dvd,$5.18,Free,Free
717,"Milfs vs. Zombies (2015) Comedy, Horror",New (Other),DVD,$11.99,Free,Free
718,New ListingWRONG TURN Blu-ray The Foundation 2021 Reboot NO DIGITAL w/ Slipcover,New (Other),Blu-ray Disc,$13.99,Free,Unknown
719,The Toll (Blu-Ray+Digital) NEW w/SLIP ,Brand New,Unknown,$12.99,Free,Unknown
720,King Kong vs. Godzilla New DVD! Ships Fast!,Brand New,DVD,$16.94,Free,Unknown
721,Jaws BLU-RAY Steven Spielberg(DIR),Pre-Owned,Blu-ray Disc,$5.97,Free,Free
722,NEW SCREAM FACTORY THE AUTOPSY OF JANE DOE HORROR BLU RAY & DVD 2016 SLIPCOVER,Brand New,Blu-ray Disc,$14.95,Free,Unknown
723,Sherlock Holmes: A Game of Shadows BLU-RAY Guy Ritchie(DIR) 2011,Pre-Owned,Blu-ray Disc,$4.49,Free,Free
724,DVDs w/ DIGITAL CODES **Combined Shipping & Deep Discounts**,Pre-Owned,Unknown,$3.00 to $4.00,Unknown,Unknown
725,Science Fiction & Fantasy DVDs Sci-Fi Movies **You Pick** **Read Description**,Pre-Owned,Unknown,$2.29 to $19.99,Unknown,Unknown
726,Victor Frankenstein [DVD] NEW!,Brand New,DVD,$7.99,Free,Unknown
727,The Entity (1981) New Sealed Blu Ray w/ Slipcover Collector's Edition Brand,Brand New,Unknown,$28.95,Unknown,Unknown
728,Stir of Echoes BLU-RAY David Koepp(DIR) 1999,Pre-Owned,Blu-ray Disc,$5.20,Free,Free
729,RELIC DVD 2020 New & Sealed comes with Slipcover New & Sealed Free Shipping!,Brand New,DVD,$8.29,Free,Unknown
730,"Possessor (DVD, 2020)",Pre-Owned,DVD,$8.00,Free,Unknown
731,DEEPSTAR SIX New Sealed Blu-ray Deep Star Six,Brand New,Blu-ray Disc,$21.32,Free,Free
732,An American Werewolf in London [New Blu-ray],Brand New,Blu-ray Disc,$29.71,Free,Free
733,"New ListingThe Shining (Blu-ray Disc, 2007, Special Edition)",New (Other),Blu-ray Disc,$8.00,Unknown,Unknown
734,MANIAC COP (1988) Arrow Video Blu-Ray BRAND NEW Free Ship,Brand New,Blu-ray Disc,$22.99,Free,Free
735,Crimson Peak DVD NEW Free Shipping,Brand New,DVD,$6.50,Free,Free
736,"Pick Your Movies, Shipping is a flat $3, save when you buy more then 1 dvd PT.4",Pre-Owned,Unknown,$2.50,Unknown,Unknown
737,Crawl,Brand New,Unknown,$8.00,Free,Unknown
738,Columbo Mystery Movie Collection 1991-2003 DVD  NEW,Brand New,DVD,$24.00,Free,Unknown
739,Raiders of the Lost Shark [New DVD],Brand New,DVD,$12.48,Free,Free
740,New ListingGretel And Hansel Blu Ray  + NO DIGITAL,New (Other),Unknown,$9.99,Free,Unknown
741,"Body Cam (DVD, 2020)",Pre-Owned,DVD,$7.50,Free,Unknown
742,Us (Blu-Ray+DVD+Digital)  Lupita Nyong'o NEW NO SLIP,Brand New,Blu-ray Disc,$7.97,Free,Unknown
743,"Leprechaun: 8-Film Collection [New DVD] Boxed Set, Dolby, Subtitled, W",Brand New,DVD,$17.41,Free,Free
744,"The Man Who Could Cheat Death/The Skull (Blu-ray Disc, 2011, 2-Disc Set) NEW!",Brand New,Blu-ray Disc,$12.99,Free,Unknown
745,Venom [New DVD] Widescreen,Brand New,DVD,$13.81,Free,Free
746,"Mystery Woman Triple Feature (DVD, 2-Disc Set) Kellie Martin Hallmark  BRAND NEW",Brand New,DVD,$9.99,Unknown,Unknown
747,"New ListingTeeth (DVD, 2008) EX Cond",Pre-Owned,DVD,$11.75,Unknown,Unknown
748,New ListingUSED DVD STEPHEN KING'S THINNER  HORROR  Robert John Burke Michael Constantine ,Pre-Owned,DVD,$2.95,Unknown,Unknown
749,New ListingAlligator Blu-ray 1980 Manufactured On Demand Robert Forster Robin Riker,Brand New,Blu-ray Disc,$13.50,Unknown,Unknown
750,The Watcher Blu-ray Ernie Hudson NEW,Brand New,Blu-ray Disc,$9.35,Free,Unknown
751,In Darkness DVD Anthony Byrne(DIR),Pre-Owned,Unknown,$5.16,Free,Free
752,"Friday the 13th [New DVD] Extended Ed, O-Card Packaging, Widescreen, D",Brand New,DVD,$7.93,Free,Free
753,"New ListingThe Exorcist 3 (DVD, 1999)",Pre-Owned,DVD,$4.99,Unknown,Unknown
754,The Grudge - DVD - VERY GOOD,Pre-Owned,DVD,$3.59,Free,Free
755,NIGHTWING NEW DVD,Brand New,DVD,$24.32,Free,Unknown
756,The Mad Magician: Limited Edition (Blu-Ray) 4K,Brand New,Blu-ray Disc,$34.55,Free,Free
757,"War of the Colossal Beast (1958) Horror, Sci-Fi Classic DVD",New (Other),DVD,$11.99,Free,Free
758,Leprechaun Returns (DVD) BRAND NEW FACTORY SEALED Widescreen Horror Comedy 🔥,Brand New,DVD,$9.95,Free,Free
759,Phenomena [New Blu-ray],Brand New,Blu-ray Disc,$28.99,Free,Free
760,BRAND NEW DVDs / Sealed / Pick Your Own / **Combined Shipping & Deep Discounts**,Brand New,Unknown,$0.99 to $14.80,Unknown,Unknown
761,ZOMBIES 2 NEW DVD,Brand New,Unknown,$19.96,Free,Unknown
762,"Spell (DVD, 2021)",Pre-Owned,DVD,$10.00,Free,Unknown
763,New ListingHALLOWEEN 5 THE REVENGE OF MICHAEL MYERS New Sealed DVD,Brand New,DVD,$4.99,Unknown,Unknown
764,New ListingHannibal (Two-Disc Special Edition) - DVD - VERY GOOD,Pre-Owned,DVD,$4.99,Free,Unknown
765,Peter Benchley's Creature [New DVD] 2 Pack,Brand New,DVD,$20.08,Free,Free
766,ERASERHEAD (1977) David Lynch [DVD] FAST SHIPPING,Brand New,DVD,$4.65,Unknown,Unknown
767,DVD Movie Lot - 2 to 5 Dollars - Free Shipping on 2nd or More DVDs,Pre-Owned,Unknown,$2.00 to $5.00,Unknown,Unknown
768,The Furies DVD Free Shipping t,Brand New,Unknown,$18.99,Unknown,Free
769,Deadtime Stories [New Blu-ray],Brand New,Blu-ray/Dvd,$17.96,Free,Free
770,DEEP BLUE SEA NEW BLU-RAY,Brand New,Blu-ray Disc,$10.05,Free,Unknown
771,PARANORMAL ISLAND New Sealed DVD Lance Henriksen,Brand New,DVD,$7.49,Free,Free
772,Interview with the Vampire: The Vampire Chronicles - DVD - VERY GOOD,Pre-Owned,DVD,$4.56,Free,Free
773,Beyond Re-Animator (Vestron Video Collector's Series) [New Blu-ray],Brand New,Blu-ray Disc,$26.78,Free,Free
774,"My Bloody Valentine [New Blu-ray] Ltd Ed, Steelbook, 2 Pack",Brand New,Unknown,$22.99,Free,Free
775,WIDESCREEN DVD Movie Lot WS! $2.50 (Pick from any list - FREE SHIPPING after 1st,Pre-Owned,Unknown,$2.50,Unknown,Free
776,DVD Swamp Thing (1982)  Adrienne Barbeau Louis Jourdan David Hess Wes Craven dir,Brand New,DVD,$19.99,Free,Unknown
777,Madhouse (1990) Kirstie Alley John Larroquette Blu-Ray BRAND NEW Free Ship,Brand New,Blu-ray Disc,$22.99,Free,Free
778,"Doctor Sleep (DVD, 2020)",Pre-Owned,DVD,$9.50,Free,Unknown
779,The Bye Bye Man DVD Doug Jones NEW,Brand New,DVD,$6.00,Free,Unknown
780,The Company of Wolves (1984) Blu-Ray BRAND NEW Free Ship (USA Compatible),Brand New,Blu-ray Disc,$18.99,Free,Free
781,"As Above, So Below Blu-ray Ben Feldman NEW",Brand New,Blu-ray Disc,$9.35,Free,Unknown
782,"Mirrors 2 (Blu-ray/DVD, 2010, 2-Disc Set) - Brand New Sealed",Brand New,DVD,$4.99,Free,Unknown
783,"Eight Legged Freaks (DVD, 2002, Full Frame) Scarlett Johansson, David Arquette",Brand New,DVD,$4.90,Unknown,Unknown
784,Outpost 3: Rise of the Spetznaz [Blu-ray Blu-ray,Pre-Owned,Blu-ray Disc,$4.70,Free,Free
785,Salem's Lot The TV Mini Series DVD Stephen King Tobe Hooper 1979 Horror Cult NEW,Brand New,DVD,$19.99,Free,Unknown
786,"Ghost [New Blu-ray] Ac-3/Dolby Digital, Dolby, Dubbed, Subtitled, Wide",Brand New,Unknown,$9.91,Free,Free
787,Zulawski POSSESSION 1981 Blu-ray 2Disc Limited Edition 2000 Sets MONDO VISION,Brand New,Blu-ray Disc,$89.99,Free,Unknown
788,"Underworld: Ultimate Collection [New DVD] Ac-3/Dolby Digital, Dolby, Dubbed, S",Brand New,DVD,$24.58,Free,Free
789,Bram Stoker's Dracula / Mary Shelley's Frankenstein - BLU RAY - NEW!!,Brand New,Unknown,$6.99,Unknown,Unknown
790,New ListingBLOOD DINER Blu-ray Slipcover Vestron Video OOP Sealed,Brand New,Blu-ray Disc,$31.99,Free,Unknown
791,Invasion of the Saucer Men (1957) B Sci-Fi Classic,New (Other),DVD,$8.99,Unknown,Unknown
792,Super 8 DVD J.J. Abrams(DIR) 2011,Pre-Owned,DVD,$4.02,Free,Free
793,"The Falcon Mystery Movie Collection: Volume 2 [New DVD] Full Frame, Mo",Brand New,DVD,$20.77,Free,Free
794,Tekken 2: Kazuya's Revenge [Blu-ray],Brand New,Blu-ray Disc,$9.99,Free,Unknown
795,NIGHTMARE ON ELM STREET COLLECTION New DVD 8 Films,Brand New,DVD,$28.99,Free,Free
796,"Freaky (DVD, 2021) BRAND NEW - FREE SHIPPING TO THE US!!!",Brand New,DVD,$12.85,Free,Free
797,The Skeleton Key DVD Kate Hudson NEW,Brand New,DVD,$9.35,Free,Unknown
798,"The Final [New DVD] Ac-3/Dolby Digital, Dolby, Subtitled, Widescreen",Brand New,DVD,$13.47,Free,Free
799,The Car Road to Revenge DVD Micah Balfour NEW,Brand New,DVD,$8.29,Free,Unknown
800,New ListingHannibal (Two-Disc Special Edition) - DVD - VERY GOOD Complete Freeshipping,New (Other),DVD,$4.50,Free,Unknown
801,The Boris Karloff Collection DVD Boris Karloff NEW,Brand New,DVD,$13.49,Free,Unknown
802,The Changeling [New DVD],Brand New,DVD,$7.65,Free,Free
803,Pompeii BLU-RAY Paul W.S. Anderson(DIR) 2014,Pre-Owned,Blu-ray Disc,$5.59,Free,Free
804,Happy Death Day DVD Jessica Rothe NEW,Brand New,DVD,$5.00,Free,Unknown
805,Exists [New DVD],Brand New,DVD,$17.97,Free,Free
806,The Manster [New Blu-ray] Widescreen,Brand New,Blu-ray Disc,$12.96,Free,Free
807,New ListingThe Wolf Man:The Legacy Collection. 2004. 2-Disc DVD Set+ 3 Movies. New & Sealed,Brand New,DVD,$16.00,Unknown,Unknown
808,The Omen Collection BLU-RAY Graham Baker(DIR),Pre-Owned,Blu-ray Disc,$14.99,Free,Free
