,Title,Quality,Type,Price,Shipping,Returns
174,Psycho 2 Blu-ray Anthony Perkins NEW,Brand New,Blu-ray Disc,$9.35,Free,Unknown
175,Lady in White [New DVD] Director's Cut/Ed,Brand New,DVD,$23.81,Free,Free
176,The Protector 2 [New DVD],Brand New,DVD,$11.84,Free,Free
177,"Goosebumps 1 + 2 (Blu-ray Disc, 2016)",New (Other),Blu-ray Disc,$7.99,Unknown,Unknown
178,THE HOWLING New Sealed Blu-ray Collector's Edition,Brand New,Blu-ray Disc,$19.47,Free,Free
179,"Shocker (DVD, 1999, Widescreen) - NEW!!",Brand New,DVD,$3.99,Unknown,Unknown
180,Warlock Collection 1 2 3 New Sealed Blu-ray Vestron Video Collector's Series ,Brand New,Blu-ray Disc,$27.95,Free,Unknown
181,Bird Box Blu Ray Movie 2018 Sandra Bullock New,Brand New,Blu-ray Disc,$33.00,Free,Unknown
182,I Spit on Your Grave 3-Pack,Brand New,DVD,$23.34,Unknown,Free
183,"The Curse of La Llorona [New DVD] Ac-3/Dolby Digital, Dolby, Dubbed, Eco Amara",Brand New,DVD,$7.69,Free,Free
184,"The Fog [New DVD] Collector's Ed, Subtitled, Widescreen",Brand New,DVD,$12.58,Free,Free
185,"Jennifer's Body [New Blu-ray] Pan & Scan, Faceplate",Brand New,Unknown,$10.35,Free,Free
186,The Twilight Saga Complete Movies Series 1 2 3 4 5 Collection Boxed DVD Set ,Brand New,DVD,$17.32,Free,Free
187,"Dead Alive, Braindead, (1992, Peter Jackson) DVD NEW",Brand New,DVD,$14.50,Free,Unknown
188,"4 ALL NIGHT HORROR MARATHON, VOL. 1 NEW DVD",Brand New,DVD,$10.14,Free,Unknown
189,Saw 1-7 Movie Collection - DVD,Brand New,DVD,$9.94,Free,Free
190,Dreamcatcher (Widescreen Edition) - DVD - VERY GOOD,Pre-Owned,DVD,$3.99,Free,Free
191,The Twilight Saga Complete Movies Series 1 2 3 4 5 Collection Boxed DVD Set ,Brand New,DVD,$17.32,Free,Free
192,ROB ZOMBIE'S HALLOWEEN/ HALLOWEEN 2 NEW BLU-RAY,Brand New,Blu-ray Disc,$13.14,Free,Unknown
193,I Know What You Did Last Summer [New Blu-ray],Brand New,Blu-ray Disc,$10.80,Free,Free
194,Halloween 1978 Original DVD Scary Movie New Sealed Free Shipping,Brand New,DVD,$7.11,Unknown,Free
195,Super 8 BLU-RAY J.J. Abrams(DIR) 2011,Pre-Owned,Blu-ray/Dvd,$5.40,Free,Free
196,THE NIGHT STALKER New Sealed DVD Original 1972 TV Movie Kolchak,Brand New,DVD,$14.91,Free,Free
197,Blu-ray Lot: DISC ONLY! Choose your movies!100's of titles 99c+ New Titles 11/13,Pre-Owned,Unknown,$0.99 to $59.99,Unknown,Unknown
198,Spiral [New DVD],Brand New,DVD,$17.97,Free,Free
199,The Serpent and the Rainbow DVD Dey Young NEW,Brand New,DVD,$9.35,Free,Unknown
200,Prince of Darkness DVD Donald Pleasence NEW,Brand New,DVD,$9.35,Free,Unknown
201,The Funhouse DVD Elizabeth Berridge NEW,Brand New,DVD,$6.00,Free,Unknown
202,DRIVE ANGRY NEW DVD WITH FREE SHIPPING!!,Brand New,DVD,$10.05,Free,Unknown
203,Bigfoot New Movie 2021 DVD White Bigfoot,Brand New,HD DVD,$8.99,Unknown,Unknown
204,Tales from the Darkside: The Movie,Brand New,DVD,$7.20,Free,Free
205,"Gargoyles (DVD, 2011) CHAPTERS INSIDE / RARE ",Brand New,DVD,$19.99,Free,Free
206,2 FILM COLLECTION - Many Options to Choose From - with Fast Free Shipping US,Brand New,Unknown,$7.00 to $13.00,Free,Unknown
207,"The Craft [New DVD] Special Ed, Widescreen",Brand New,DVD,$9.19,Free,Free
208,Get Out (2017) DVD Allison Williams NEW,Brand New,DVD,$5.00,Free,Unknown
209,Lake Placid Collector's Edition (Blu Ray),Brand New,Blu-ray Disc,$17.99,Unknown,Unknown
210,Machete Kills DVD Danny Trejo NEW,Brand New,DVD,$9.35,Free,Unknown
211,Greta DVD Chloë Grace Moretz NEW,Brand New,DVD,$5.00,Free,Unknown
212,Action Thriller Drama Blu-ray DVD Movies **YOU PICK** **Read Description**,Pre-Owned,Unknown,$3.99 to $14.99,Unknown,Unknown
213,Buried Alive [New DVD],Brand New,DVD,$13.43,Free,Free
214,The Divergent Series: Insurgent DVD Robert Schwentke(DIR),Pre-Owned,DVD,$5.10,Free,Free
215,The Babadook [New DVD],Brand New,DVD,$8.57,Free,Free
216,New ListingThe Haunting In Connecticut Blu-Ray Movie,Pre-Owned,Unknown,$3.99,Unknown,Unknown
217,"Howl (Blu-ray Disc, 2016) - NEW!!",Brand New,Blu-ray Disc,$3.99,Unknown,Unknown
218,BURIED ALIVE New Sealed DVD 1990 TV Movie Tim Matheson Jennifer Jason Leigh,Brand New,DVD,$13.34,Free,Free
219,Happy Death Day 2u Blu-ray Jessica Rothe NEW,Brand New,Unknown,$9.21,Free,Unknown
220,THE RELIC New Sealed DVD,Brand New,DVD,$7.16,Free,Free
221,"The Curse of La Llorona [New Blu-ray] With DVD, Ac-3/Dolby Digital, Digital Co",Brand New,DVD,$11.88,Free,Free
222,"New ListingThe Invasion (Blu-ray Disc, 2008)",Pre-Owned,Blu-ray Disc,$9.00,Unknown,Unknown
223,"The Amityville Horror [New Blu-ray] Pan & Scan, With Movie Cash",Brand New,Blu-ray Disc,$8.49,Free,Free
224,Contracted [New DVD],Brand New,DVD,$21.41,Free,Free
225,"New ListingLake Placid vs. Anaconda (DVD, 2015) - NEW!!",Brand New,DVD,$6.39,Unknown,Unknown
226,"Tales from the Darkside: The Complete Series (DVD, 2016, 12-Disc) New & Sealed",Brand New,DVD,$19.58,Free,Unknown
227,$3 DVD Movie Lot EXCELLENT Movies **YOU PICK MOVIES** (ONLY $3 Total Shipping),Pre-Owned,Unknown,$3.00,Unknown,Free
228,"New ListingThe Believers (DVD, 2002) Widescreen, NTSC, Region 1",Brand New,DVD,$12.99,Free,Free
229,White Noise Blu-ray Michael Keaton NEW,Brand New,Unknown,$9.35,Free,Unknown
230,The Return of Godzilla (1984) DVD,Brand New,DVD,$7.49,Unknown,Unknown
231,Amazing Stories Season 1 DVD Terry Beaver NEW,Brand New,DVD,$13.76,Free,Unknown
232,Blu-Ray Movies From Personal Collection - Pick Your Movie -,Pre-Owned,Unknown,$3.80 to $15.99,Free,Free
233,"The Fly [New Blu-ray] Ac-3/Dolby Digital, Dolby, Digital Theater Syste",Brand New,Blu-ray Disc,$11.16,Free,Free
234,Happy Death Day 2u DVD Jessica Rothe NEW,Brand New,DVD,$5.00,Free,Unknown
235,"Evil Dead (Blu-ray Disc, 2013, Includes Digital Copy; UltraViolet)",Brand New,Blu-ray Disc,$5.99,Unknown,Unknown
236,Jaws 2 DVD Roy Scheider NEW,Brand New,DVD,$5.00,Free,Unknown
237,"5 Film Collection: Dirty Harry [New DVD] Boxed Set, Eco Amaray Case",Brand New,DVD,$13.80,Free,Free
238,Saw 8-film Collection Blu Ray Halloween Scary Movie New Sealed Free Shipping,Brand New,Unknown,$25.66,Unknown,Free
239,Tremors 7-Movie Collection DVD Kevin Bacon NEW,Brand New,DVD,$22.99,Free,Unknown
240,*New* Vampire Hunter D Blu-ray - Original Anime Movie - English Dubbed + Subbed,Brand New,Unknown,$19.90,Free,Free
241,"New ListingThe Losers (Blu-ray, 2010, 2-Disc Set)",Pre-Owned,Blu-ray Disc,$8.98,Free,Free
242,The Darkness Blu-ray Kevin Bacon NEW,Brand New,Blu-ray Disc,$9.99,Free,Unknown
